variable.ID,variable.type,variable.name,units,description,extended.description,equations,requires.allometry,requires.min.dbh,requires.depth,associated.covariate_1,associated.covariate_2,provide.to.IPCC,IPCC.C_pool,IPCC.Unit_(ID),Type of Parameter (ID),Equation,Equation_questioned,IPCC Worksheet Number,IPCC.notes,review.notes
57,flux,BNPP_root_coarse_OM,Mg ha-1 yr-1,Belowground Net Primary Production: coarse root component (BNPP_coarse),"Annual net primary production of coarse roots, typically determined using allometric equations relating root mass to stem diameter.",NA,1,1,0,min.diameter_root,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,Not IPCC but could be useful since it may be applied with the variable on losses in a gain and loss type of IPCC equation limited to belowground biomass,"As  you note, and as with ANPP_woody, losses would need to be subtracted to get biomass/ C increment of roots. The coarse root component would be the more relevant one, and unfortunately we don't have a variable in ForC quantifying the loss of these. Decay of dead coarse roots would be included in R_soil_het."
58,flux,BNPP_root_coarse_C,Mg C ha-1 yr-1,Belowground Net Primary Production: coarse root component (BNPP_coarse),"Annual net primary production of coarse roots, typically determined using allometric equations relating root mass to stem diameter.",NA,1,1,0,min.diameter_root,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,Not IPCC but could be useful since it may be applied with the variable on losses in a gain and loss type of IPCC equation limited to belowground biomass,"As  you note, and as with ANPP_woody, losses would need to be subtracted to get biomass/ C increment of roots. The coarse root component would be the more relevant one, and unfortunately we don't have a variable in ForC quantifying the loss of these. Decay of dead coarse roots would be included in R_soil_het."
59,flux,BNPP_root_fine_OM,Mg ha-1 yr-1,Belowground Net Primary Production: fine root component (BNPP_fine),"Annual net primary production of fine roots, estimated using a variety of methods including minirhizotrons, repeat coring, and ingrowth cores.",NA,0,0,1,min.diameter_root, max.diameter_root,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,Not IPCC but could be useful since it may be applied with the variable on losses in a gain and loss type of IPCC equation limited to belowground biomass,"I'm not sure you'd want this. Fine roots could be seen as the belowground parallel to leaves: relatively low biomass (rarely >5 Mg C/ha) with rapid turnover. Fine root biomass increment (production - turnover) would be very small in most forests, as fine root biomass stabilizes relatively quickly following disturbance."
60,flux,BNPP_root_fine_C,Mg C ha-1 yr-1,Belowground Net Primary Production: fine root component (BNPP_fine),"Annual net primary production of fine roots, estimated using a variety of methods including minirhizotrons, repeat coring, and ingrowth cores.",NA,0,0,1,min.diameter_root, max.diameter_root,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,Not IPCC but could be useful since it may be applied with the variable on losses in a gain and loss type of IPCC equation limited to belowground biomass,"I'm not sure you'd want this. Fine roots could be seen as the belowground parallel to leaves: relatively low biomass (rarely >5 Mg C/ha) with rapid turnover. Fine root biomass increment (production - turnover) would be very small in most forests, as fine root biomass stabilizes relatively quickly following disturbance."
61,flux,BNPP_root.turnover_fine_OM,Mg ha-1 yr-1,Belowground Net Primary Production: fine root turnover (BNPP_root.turnover_fine),Annual turnover (mortality) of fine roots.,NA,0,0,1,min.diameter_root, max.diameter_root,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,Not IPCC but could be useful since it may be applied with the variable on losses in a gain and loss type of IPCC equation limited to belowground biomass,"I'm not sure you'd want this. Fine roots could be seen as the belowground parallel to leaves: relatively low biomass (rarely >5 Mg C/ha) with rapid turnover. Fine root biomass increment (production - turnover) would be very small in most forests, as fine root biomass stabilizes relatively quickly following disturbance."
62,flux,BNPP_root.turnover_fine_C,Mg C ha-1 yr-1,Belowground Net Primary Production: fine root turnover (BNPP_root.turnover_fine),Annual turnover (mortality) of fine roots.,NA,0,0,1,min.diameter_root, max.diameter_root,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,Not IPCC but could be useful since it may be applied with the variable on losses in a gain and loss type of IPCC equation limited to belowground biomass,"I'm not sure you'd want this. Fine roots could be seen as the belowground parallel to leaves: relatively low biomass (rarely >5 Mg C/ha) with rapid turnover. Fine root biomass increment (production - turnover) would be very small in most forests, as fine root biomass stabilizes relatively quickly following disturbance."
63,flux,R_eco_C,Mg C ha-1 yr-1,Ecosystem Respiration (R_eco),"Annual ecosystem respiration, commonly estimated through flux partitioning of eddy covariance. Sign convention: positive.",(1)* R_eco_C = NEE_C - GPP_C; (2) R_eco_C = R_auto_C + R_het_soil_C,0,0,0,u.star ,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
64,flux,R_eco_cum_C,Mg C ha-1 (timestep)-1,NA,Cumulative ecosystem respiration over a specified time frame (measured using eddy-covariance or gas exchange in a closed chamber). Sign convention: positive.,NEE_cum_C =  R_eco_cum_C - GPP_cum_C,0,0,0,u.star ,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
65,flux,R_auto_C,Mg C ha-1 yr-1,Autotropic Respiration (R_auto),"Annual autotrophic respiration, including above- and belowground components.",R_auto_C =  R_auto_wood_C + R_auto_foliage_C + R_auto_root_C ,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
66,flux,R_auto_ag_C,Mg C ha-1 yr-1,Autotropic Respiration: aboveground component (R_auto_ag),Annual aboveground autotrophic respiration ,R_auto_ag_C = R_auto_foliage_C + R_auto_wood_C ,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
67,flux,R_auto_wood_C,Mg C ha-1 yr-1,Autotropic Respiration: woody stem component (R_auto_wood),Annual aboveground respiration of woody stems ,NA,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
68,flux,R_auto_foliage_C,Mg C ha-1 yr-1,Autotropic Respiration: foliar component (R_auto_foliage),Annual foliar respiration,NA,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
69,flux,R_auto_root_C,Mg C ha-1 yr-1,Autotropic Respiration: root component (R_auto_root),Annual root respiration (all size classes). ,R_soil_C = R_het_soil_C + R_auto_root_C,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
70,flux,R_soil_C,Mg C ha-1 yr-1,Soil Respiration (R_soil),Annual soil respiration,R_soil_C = R_het_soil_C + R_auto_root_C,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
71,flux,R_het_soil_C,Mg C ha-1 yr-1,Heterotropic Respiration: soil componnent (R_het_soil),Annual soil heterotrophic respiration,R_soil_C = R_het_soil_C + R_auto_root_C,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,not needed,"In theory, this can be used to help construct a belowground C balance. In practice, it's complex, and should only be done at a site level. I'd recommend avoiding this, at least for now."
72,flux,R_het_litter_C,Mg C ha-1 yr-1,Heterotropic Respiration: litter decomposition component (R_het_litter),Annual respiration from litter decomposition,NA,0,0,0,max.diameter_root,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),Equation 2.18,,,IPCC understands this is the dead organic matter decay so useful as DOM outputs,Consistency checks. This will be one component of DOM_out (litter component). 
73,flux,R_het_deadwood,Mg C ha-1 yr-1,Heterotropic Respiration: deadwood decomposition component (R_het_litter),Annual respiration from deadwood decomposition,NA,0,0,0,min.diameter_root,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),Equation 2.18,,,IPCC understands  this is the dead organic matter decay so useful as DOM outputs,Consistency checks. This will be one component of DOM_out (dead wood component). 
74,flux,R_het_ag_C,Mg C ha-1 yr-1,Heterotropic Respiration: aboveground component (R_het_litter),Annual aboveground heterotrophic respiration ,NA,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
75,flux,R_het_C,Mg C ha-1 yr-1,Heterotrophic Respiration: total (R_het),Annual heterotrophic respiration ,R_het_C = R_het_soil_C + R_het_litter_C + R_het_ag_C _,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
76,increment,delta.total.ecosystem_C,Mg C ha-1 yr-1,"Total Ecosystem C stock increment, soil included (delta.total.ecosystem_C)","Net increment (accounting for gains + losses) in total ecosystem C stock, including total biomass, deadwood, organic layer, and soil organic C.  Also known as ""Net Ecosystem Carbon Balance (NECB)"", as defined in Chapin et al. 2006.",,1,1,1,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),,,,,
77,increment,delta.total.ecosystem_2_C,Mg C ha-1 yr-1,"Total Ecosystem C stock increment, soil excluded (delta.total.ecosystem_2_C)","Net increment (accounting for gains + losses) in total ecosystem carbon in organic matter, including total biomass, deadwood, and organic layer but excluding soil organic carbon.",,1,1,1,NA,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),,,,,
78,increment,delta.biomass_OM,Mg ha-1 yr-1,Biomass increment (delta.biomass),Net increment (accounting for gains + losses) in total live biomass (above and below-ground).,,1,1,1,NA,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),,,,,
79,increment,delta.biomass_C,Mg C ha-1 yr-1,Biomass increment (delta.biomass),Net increment (accounting for gains + losses) in total carbon in live biomass (above and below-ground).,,1,1,1,NA,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),,,,,
80,increment,delta.agb_OM,Mg ha-1 yr-1,Aboveground Biomass Increment (delta.agb),Net increment (accounting for gains + losses) in live aboveground biomass ,delta.agb_OM = ANPP_woody_stem_OM - woody.mortality_ag_OM,1,1,0,NA,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),Equation 2.8,,,,Consitency checks.
81,increment,delta.agb_C,Mg C ha-1 yr-1,Aboveground Biomass Increment (delta.agb),Net increment (accounting for gains + losses) in carbon in live aboveground biomass,delta.agb_C = ANPP_woody_stem_C - woody.mortality_ag_C,1,1,0,NA,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),Equation 2.8,,,,Consitency checks.
82,increment,delta.biomass_root_OM,Mg ha-1 yr-1,Biomass increment: root component (delta.biomass_root),Net increment (accounting for gains + losses) in total root biomass.,,1,1,1,min.diameter_root,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),,,,,
83,increment,delta.biomass_root_C,Mg C ha-1 yr-1,Biomass increment: root component (delta.biomass_root),Net increment (accounting for gains + losses) in total carbon in root biomass,,1,1,1,min.diameter_root,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),,,,,
84,increment,delta.biomass_root_coarse_OM,Mg ha-1 yr-1,Biomass increment: coarse root component (delta.biomass_root_coarse),Net increment (accounting for gains + losses) in total coarse root biomass. Typical size cutoff (min.diameter_root) is 1-2 mm diameter.,,1,1,0,min.diameter_root,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),,,,,
85,increment,delta.biomass_root_coarse_C,Mg C ha-1 yr-1,Biomass increment: coarse root component (delta.biomass_root_coarse),Net increment (accounting for gains + losses) in total carbon in coarse root biomass. Typical size cutoff (min.diameter_root) is 1-2 mm diameter.,,1,1,0,min.diameter_root,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),,,,,
86,increment,delta.biomass_root_fine_OM,Mg ha-1 yr-1,Biomass increment: fine root component (delta.biomass_root_fine),Net increment (accounting for gains + losses) in total fine root biomass. Typical size cutoff (max.diameter_root) is 1-2 mm diameter.,,0,0,1,min.diameter_root,max.diameter_root,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),,,,,
87,increment,delta.biomass_root_fine_C,Mg C ha-1 yr-1,Biomass increment: fine root component (delta.biomass_root_fine),Net increment (accounting for gains + losses) in total carbon in fine root biomass. Typical size cutoff (max.diameter_root) is 1-2 mm diameter.,,0,0,1,min.diameter_root,max.diameter_root,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),,,,,
88,increment,delta.deadwood_OM,Mg ha-1 yr-1,Dead wood increment (delta.deadwood),"Net increment (accounting for gains + losses) in total mass of aboveground dead wood, including standing dead wood and woody debris. ",,1,1,0,(min.diameter),(min.length),1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),,,,,
89,increment,delta.deadwood_C,Mg C ha-1 yr-1,Dead wood increment (delta.deadwood),"Net increment (accounting for gains + losses) in total carbon in aboveground dead wood, including standing dead wood and woody debris. ",,1,1,0,(min.diameter),(min.length),1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),,,,,
90,increment,delta.deadwood_standing_OM,Mg ha-1 yr-1,Dead wood increment: standing (delta.deadwood_standing),Net increment (accounting for gains + losses) in total mass of aboveground standing dead wood (snags).,,1,1,0,NA,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),,,,,
91,increment,delta.deadwood_standing_C,Mg C ha-1 yr-1,Dead wood increment: standing (delta.deadwood_standing),Net increment (accounting for gains + losses) in total carbon in aboveground standing dead wood (snags).,,1,1,0,NA,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),,,,,
92,increment,delta.deadwood_down_OM,Mg ha-1 yr-1,Dead wood increment: fallen (delta.deadwood_down),Net increment (accounting for gains + losses) in total mass of downed dead wood (coarse and sometimes fine woody debris). ,,0,0,0,(min.diameter),(min.length),1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),,,,,
93,increment,delta.deadwood_down_C,Mg C ha-1 yr-1,Dead wood increment: fallen (delta.deadwood_down),Net increment (accounting for gains + losses) in total carbon in downed dead wood (coarse and sometimes fine woody debris). ,,0,0,0,(min.diameter),(min.length),1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),,,,,
94,increment,delta.litter_OM,Mg ha-1 yr-1,Litter (OL horizon) increment (delta.litter),"Net increment (accounting for gains + losses) in mass of litter, or relatively undecomposed plant material (OL soil horizon).",NA,0,0,0,max.diameter,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),,,,,"incomplete in that it doesn't include full O horizon, or belowground"
95,increment,delta.litter_C,Mg C ha-1 yr-1,Litter (OL horizon) increment(delta.litter),"Net increment (accounting for gains + losses) in C in litter, or relatively undecomposed plant material (OL soil horizon).",NA,0,0,0,max.diameter,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),,,,,"incomplete in that it doesn't include full O horizon, or belowground"
96,increment,delta.organic.layer_OM,Mg ha-1 yr-1,Organic Layer/ Litter increment (delta.organic.layer),"Net increment (accounting for gains + losses) in mass of litter/ organic layer/ forest floor, where components included have not been clearly defined",NA,0,0,0,max.diameter,NA,0,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),,,,,"ambiguous as to whether this is just litter or entire O.horizon; therefore, not sent to IPCC"
97,increment,delta.organic.layer_C,Mg C ha-1 yr-1,Organic Layer/ Litter increment (delta.organic.layer),"Net increment (accounting for gains + losses) in C content of litter/ organic layer/ forest floor, where components included have not been clearly defined",NA,0,0,0,max.diameter,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),,,,,"ambiguous as to whether this is just litter or entire O.horizon; therefore, not sent to IPCC"
98,increment,delta.O.horizon_OM,Mg ha-1 yr-1,Organic horizon  increment (delta.O.horizon),"Net increment (accounting for gains + losses) in mass of entire organic horizon, including litter (OL), fumic (OF), and humic (OH) layers. ",,0,0,0,max.diameter,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),,,,,
99,increment,delta.O.horizon_C,Mg C ha-1 yr-1,Organic horizon increment (delta.O.horizon),"Net increment (accounting for gains + losses) in C content of entire organic horizon, including litter (OL), fumic (OF), and humic (OH) layers. ",,0,0,0,max.diameter,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),,,,,
100,increment,delta.soil_OM,Mg ha-1 yr-1,Soil Organic Matter increment (delta.soil_OM),Net increment (accounting for gains + losses) in soil organic matter to specified depth in mineral soil.,,0,0,1,NA,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),,,,,
101,increment,delta.soil_C,Mg C ha-1 yr-1,Soil Organic Carbon increment (soil_C),Net increment (accounting for gains + losses) in soil organic carbon to specified depth in mineral soil.,,0,0,1,NA,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),,,,,
102,stock,total.ecosystem_C,Mg C ha-1,"Total Ecosystem C stock, soil included (total.ecosystem_C)","Total ecosystem C stock, including total biomass, deadwood, organic layer, and soil organic C",total.ecosystem_C = biomass_C + deadwood_C + organic.layer_C + soil_C,1,1,1,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,Not IPCC but could be useful ,
103,stock,total.ecosystem_2_C,Mg C ha-1,"Total Ecosystem C stock, soil excluded (total.ecosystem_2_C)","Total ecosystem carbon in organic matter, including total biomass, deadwood, and organic layer but excluding soil organic carbon.",total.ecosystem_2_C = biomass_C + deadwood_C + organic.layer_C ,1,1,1,NA,NA,1,Classified otherwise (OTH),tonnes C/ha (274),Other [e.g. Compiled] (3),NA,,,Not IPCC but could be useful ,
104,stock,biomass_OM,Mg ha-1,Biomass (biomass),Total live biomass.,biomass_OM = biomass_ag_OM + biomass_root_OM,1,1,1,NA,NA,1,Classified otherwise (OTH),tonnes dry matter/ha (954),Other [e.g. Compiled] (3),"Equations 2.14, 2.16, 2.27",,,,
105,stock,biomass_C,Mg C ha-1,Biomass (biomass),Total carbon in live biomass.,biomass_C = biomass_ag_C + biomass_root_C,1,1,1,NA,NA,1,Classified otherwise (OTH),tonnes C/ha (274),Other [e.g. Compiled] (3),"Equations 2.14, 2.16",,,,
106,stock,biomass_ag_OM,Mg ha-1,Aboveground Biomass (biomass_ag),Total live aboveground biomass.,biomass_ag_OM = biomass_ag_woody_OM + biomass_ag_foliage_OM,1,1,0,NA,NA,1,Above-ground biomass [AGB] (AGB),tonnes dry matter/ha (954),Other [e.g. Compiled] (3),"Equations 2.14, 2.16, 2.27",,,,
107,stock,biomass_ag_C,Mg C ha-1,Aboveground Biomass (biomass_ag),Total carbon in live aboveground biomass.,biomass_ag_C = biomass_ag_woody_C + biomass_ag_foliage_C,1,1,0,NA,NA,1,Above-ground biomass [AGB] (AGB),tonnes C/ha (274),Other [e.g. Compiled] (3),"Equations 2.14, 2.16",,,,
108,stock,biomass_ag_woody_OM,Mg ha-1,Aboveground Biomass: woody component (biomass_ag_woody),Total aboveground woody (stem + branch) biomass,NA,1,1,0,NA,NA,1,Classified otherwise (OTH),tonnes dry matter/ha (954),Other [e.g. Compiled] (3),"Equations 2.14, 2.16, 2.27",,,,
109,stock,biomass_ag_woody_C,Mg C ha-1,Aboveground Biomass: woody component (biomass_ag_woody),Total carbon in aboveground woody (stem + branch) biomass,NA,1,1,0,NA,NA,1,Classified otherwise (OTH),tonnes C/ha (274),Other [e.g. Compiled] (3),"Equations 2.14, 2.16",,,,
110,stock,biomass_ag_foliage_OM,Mg ha-1,Aboveground Biomass: foliage component (biomass_ag_foliage),Total foliage biomass,NA,1,1,0,NA,NA,1,Classified otherwise (OTH),tonnes dry matter/ha (954),Other [e.g. Compiled] (3),NA,,,Not IPCC but could be useful ,
111,stock,biomass_ag_foliage_C,Mg C ha-1,Aboveground Biomass: foliage component (biomass_ag_foliage),Total carbon in foliage biomass,NA,1,1,0,NA,NA,1,Classified otherwise (OTH),tonnes C/ha (274),Other [e.g. Compiled] (3),NA,,,Not IPCC but could be useful ,
112,stock,biomass_ag_understory_OM,Mg ha-1,Aboveground Biomass: understory component (biomass_ag_understory),Total understory biomass.,NA,0,0,0,max.height  ,max.diameter,1,Classified otherwise (OTH),tonnes dry matter/ha (954),Other [e.g. Compiled] (3),"Equations 2.14, 2.16, 2.27",,,,
113,stock,biomass_ag_understory_C,Mg C ha-1,Aboveground Biomass: understory component (biomass_ag_understory),Total carbon in understory biomass.,NA,0,0,0,max.height  ,max.diameter,1,Classified otherwise (OTH),tonnes C/ha (274),Other [e.g. Compiled] (3),"Equations 2.14, 2.16",,,,
114,stock,biomass_root_OM,Mg ha-1,Biomass: root component (biomass_root),Total root biomass.,biomass_root_OM = biomass_root_coarse_OM + biomass_root_fine_OM,1,1,1,min.diameter_root,NA,1,Below-ground biomass [BGB] (BGB),tonnes dry matter/ha (954),Other [e.g. Compiled] (3),"Equations 2.14, 2.16",,,IPCC guidance (Table 1.1): may include or exclude fine roots (<2mm diameter),
115,stock,biomass_root_C,Mg C ha-1,Biomass: root component (biomass_root),Total carbon in root biomass,biomass_root_C = biomass_root_coarse_C + biomass_root_fine_C,1,1,1,min.diameter_root,NA,1,Below-ground biomass [BGB] (BGB),tonnes C/ha (274),Other [e.g. Compiled] (3),"Equations 2.14, 2.16",,,IPCC guidance (Table 1.1): may include or exclude fine roots (<2mm diameter),
116,stock,biomass_root_coarse_OM,Mg ha-1,Biomass: coarse root component (biomass_root_coarse),Total coarse root biomass. Typical size cutoff (min.diameter_root) is 1-2 mm diameter.,NA,1,1,0,min.diameter_root,NA,1,Below-ground biomass [BGB] (BGB),tonnes dry matter/ha (954),Other [e.g. Compiled] (3),"Equations 2.14, 2.16",,,IPCC guidance (Table 1.1): may include or exclude fine roots (<2mm diameter),
117,stock,biomass_root_coarse_C,Mg C ha-1,Biomass: coarse root component (biomass_root_coarse),Total carbon in coarse root biomass. Typical size cutoff (min.diameter_root) is 1-2 mm diameter.,NA,1,1,0,min.diameter_root,NA,1,Below-ground biomass [BGB] (BGB),tonnes C/ha (274),Other [e.g. Compiled] (3),"Equations 2.14, 2.16",,,IPCC guidance (Table 1.1): may include or exclude fine roots (<2mm diameter),
118,stock,biomass_root_fine_OM,Mg ha-1,Biomass: fine root component (biomass_root_fine),Total fine root biomass. Typical size cutoff (max.diameter_root) is 1-2 mm diameter.,NA,0,0,1,min.diameter_root,max.diameter_root,1,Classified otherwise (OTH),tonnes dry matter/ha (954),Other [e.g. Compiled] (3),"Equations 2.14, 2.16",,,,
119,stock,biomass_root_fine_C,Mg C ha-1,Biomass: fine root component (biomass_root_fine),Total carbon in fine root biomass. Typical size cutoff (max.diameter_root) is 1-2 mm diameter.,NA,0,0,1,min.diameter_root,max.diameter_root,1,Classified otherwise (OTH),tonnes C/ha (274),Other [e.g. Compiled] (3),"Equations 2.14, 2.16",,,,
120,stock,deadwood_OM,Mg ha-1,Dead wood (deadwood),"Total mass of aboveground dead wood, including standing dead wood and woody debris. ",deadwood_OM = deadwood_down_OM + deadwood_standing_OM,1,1,0,(min.diameter),(min.length),1,Dead wood [DW] (DWD),tonnes dry matter/ha (954),Other [e.g. Compiled] (3),"Equations 2.14, 2.16, 2.27",,,"IPCC definition (Table 1.1): Includes all non-living woody biomass not contained in the litter, either standing, lying on the ground, or in the soil. Dead wood includes wood lying on the surface, dead roots, and stumps, larger than or equal to 10 cm in diameter (or the diameter specified by the country).",
121,stock,deadwood_C,Mg C ha-1,Dead wood (deadwood),"Total carbon in aboveground dead wood, including standing dead wood and woody debris. ",deadwood_C = deadwood_down_C + deadwood_standing_C,1,1,0,(min.diameter),(min.length),1,Dead wood [DW] (DWD),tonnes C/ha (274),Other [e.g. Compiled] (3),"Equations 2.14, 2.16",,,"IPCC definition (Table 1.1): Includes all non-living woody biomass not contained in the litter, either standing, lying on the ground, or in the soil. Dead wood includes wood lying on the surface, dead roots, and stumps, larger than or equal to 10 cm in diameter (or the diameter specified by the country).",
122,stock,deadwood_standing_OM,Mg ha-1,Dead wood: standing (deadwood_standing),Total mass of aboveground standing dead wood (snags).,NA,1,1,0,NA,NA,1,Classified otherwise (OTH),tonnes dry matter/ha (954),Other [e.g. Compiled] (3),"Equations 2.14, 2.16, 2.27",,,,
123,stock,deadwood_standing_C,Mg C ha-1,Dead wood: standing (deadwood_standing),Total carbon in aboveground standing dead wood (snags).,NA,1,1,0,NA,NA,1,Classified otherwise (OTH),tonnes C/ha (274),Other [e.g. Compiled] (3),"Equations 2.14, 2.16",,,,
124,stock,deadwood_down_OM,Mg ha-1,Dead wood: fallen (deadwood_down),Total mass of downed dead wood (coarse and sometimes fine woody debris). ,NA,0,0,0,(min.diameter),(min.length),1,Classified otherwise (OTH),tonnes dry matter/ha (954),Other [e.g. Compiled] (3),"Equations 2.14, 2.16, 2.27",,,,
125,stock,deadwood_down_C,Mg C ha-1,Dead wood: fallen (deadwood_down),Total carbon in downed dead wood (coarse and sometimes fine woody debris).,NA,0,0,0,(min.diameter),(min.length),1,Classified otherwise (OTH),tonnes C/ha (274),Other [e.g. Compiled] (3),"Equations 2.14, 2.18",,,,
126,stock,litter_OM,Mg ha-1,Litter (OL horizon) (litter),"Mass of litter, or relatively undecomposed plant material (OL soil horizon).",NA,0,0,0,max.diameter,NA,1,Classified otherwise (OTH),tonnes dry matter/ha (954),Other [e.g. Compiled] (3),,,,,"incomplete in that it doesn't include full O horizon, or belowground"
127,stock,litter_C,Mg C ha-1,Litter (OL horizon) (litter),"C in litter, or relatively undecomposed plant material (OL soil horizon).",NA,0,0,0,max.diameter,NA,1,Classified otherwise (OTH),tonnes C/ha (274),Other [e.g. Compiled] (3),,,,,"incomplete in that it doesn't include full O horizon, or belowground"
128,stock,organic.layer_OM,Mg ha-1,Organic Layer/ Litter (organic.layer),"Mass of litter/ organic layer/ forest floor, where components included have not been clearly defined",NA,0,0,0,max.diameter,NA,0,Classified otherwise (OTH),tonnes dry matter/ha (954),Other [e.g. Compiled] (3),,,,,"ambiguous as to whether this is just litter or entire O.horizon; therefore, not sent to IPCC"
129,stock,organic.layer_C,Mg C ha-1,Organic Layer/ Litter (organic.layer),"C content of litter/ organic layer/ forest floor, where components included have not been clearly defined",NA,0,0,0,max.diameter,NA,0,Classified otherwise (OTH),tonnes C/ha (274),Other [e.g. Compiled] (3),,,,,"ambiguous as to whether this is just litter or entire O.horizon; therefore, not sent to IPCC"
130,stock,O.horizon_OM,Mg ha-1,Organic horizon (O.horizon),"Mass of entire organic horizon, including litter (OL), fumic (OF), and humic (OH) layers. ",,0,0,0,max.diameter,NA,1,Litter [L] (LIT),tonnes dry matter/ha (954),Other [e.g. Compiled] (3),"Equations 2.14, 2.16, 2.27",,,IPCC threshhold between CWD and litter is 10cm diameter.,
131,stock,O.horizon_C,Mg C ha-1,Organic horizon (O.horizon),"C content of entire organic horizon, including litter (OL), fumic (OF), and humic (OH) layers. ",,0,0,0,max.diameter,NA,1,Litter [L] (LIT),tonnes C/ha (274),Other [e.g. Compiled] (3),"Equations 2.14, 2.20",,,IPCC threshhold between CWD and litter is 10cm diameter.,
132,stock,soil_OM,Mg ha-1,Soil Organic Matter (soil_OM),Soil organic matter to specified depth in mineral soil.,NA,0,0,1,NA,NA,1,Soil organic matter - mineral soils [SOM mineral] (OMM),tonnes dry matter/ha (954),Other [e.g. Compiled] (3),Equations 2.25,,,IPCC default is 30cm depth,
